"ID","DATE","MODEL","KRNAME","PRICE","CONTRANT","AGENCY","GUARANTEE","CHANGES","CONDITIONS","COMPONENT","SRC","SOLD"
"17024401","2017-05-22"," SM-G920L 32GB ","갤럭시 S6","140000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6030.jpg","판매가 완료된 상품 입니다."
"17024415","2017-05-22"," SM-N916SL ","갤럭시 노트4S-LTE","110000","요금할인약정 가능","LG U+ (마이크로유심) ","무상 보증기간 만료 ","확정기변","하(번인/잔상/파손)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6017.jpg","판매가 완료된 상품 입니다."
"17024419","2017-05-22"," SM-G935K 32GB ","갤럭시 S7 엣지","360000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 남음 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6293.jpg","N/A"
"17024454","2017-05-22"," A1586 16GB ","아이폰6","220000","모름","SKT | KT | LG U+ (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/5900.jpg","판매가 완료된 상품 입니다."
"17024478","2017-05-22"," SM-G935K 128GB ","갤럭시 S7 엣지","650000","요금할인약정 가능","KT (나노유심) ","무상 보증기간 남음 ","확정기변","미사용","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6479.jpg","N/A"
"17024499","2017-05-22"," A1723 64GB ","아이폰SE","250000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","미확인 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6322.jpg","판매가 완료된 상품 입니다."
"17024507","2017-05-22"," A1723 64GB ","아이폰SE","310000","요금할인약정 가능","SKT | KT | LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6322.jpg","판매가 완료된 상품 입니다."
"17024510","2017-05-22"," SM-G935L 64GB ","갤럭시 S7 엣지","380000","요금할인약정 가능","LG U+ (나노유심) ","무상 보증기간 남음 ","확정기변","중 (생활흠집 외 양호)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6296.jpg","N/A"
"17024518","2017-05-22"," LG-F820L ","U폰","90000","요금할인약정 불가","LG U+ (나노유심) ","무상 보증기간 남음 ","유심기변","상(새제품 수준/무흠집)","박스 및 모든 구성품 포함","http://image2.cetizen.com/review/thumb220/6473.jpg","판매가 완료된 상품 입니다."
"17024527","2017-05-22"," SM-G935S 32GB ","갤럭시 S7 엣지","330000","요금할인약정 가능","SKT (나노유심) ","무상 보증기간 만료 ","확정기변","상(새제품 수준/무흠집)","구성품 일부 누락","http://image2.cetizen.com/review/thumb220/6280.jpg","N/A"
